Make,Model,,,,,,,
AMW,1618,,,,,,,
AMW,2516,,,,,,,
AMW,2518,,,,,,,
SWARAJ-MAZDA,SUPER,,,,,,,
SWARAJ-MAZDA,SUPER-129-XM,,,,,,,
SWARAJ-MAZDA,SUPREME,,,,,,,
SWARAJ-MAZDA,WT48,,,,,,,
SWARAJ-MAZDA,WT49,,,,,,,
SWARAJ-MAZDA,WV26,,,,,,,
SWARAJ-MAZDA,ZT54,,,,,,,
SWARAJ-MAZDA,ZT54AB,,,,,,,
SWARAJ-MAZDA,ZT54E,,,,,,,
SWARAJ-MAZDA,ZT54EL,,,,,,,
SWARAJ-MAZDA,ZT54ES,,,,,,,
SWARAJ-MAZDA,ZT54S,,,,,,,
SWARAJ-MAZDA,ZT54SM,,,,,,,
TATA,1109-LPT,,,,,,,
TATA,1112,,,,,,,
TATA,1212,,,,,,,
TATA,1613,,,,,,,
TATA,1615,,,,,,,
TATA,1616,,,,,,,
TATA,1618,,,,,,,
TATA,207,,,,,,,
TATA,2515,,,,,,,
TATA,2516,,,,,,,
TATA,2518,,,,,,,
TATA,2523-LPK,,,,,,,
TATA,3118,,,,,,,
TATA,3516,,,,,,,
TATA,3518,,,,,,,
TATA,3718-LPT,,,,,,,
TATA,3723-LPT,,,,,,,
TATA,4018,,,,,,,
TATA,407-LPK,,,,,,,
TATA,407-LPT,,,,,,,
TATA,407-SFC,,,,,,,
TATA,407-SK,,,,,,,
TATA,410-SFC,,,,,,,
TATA,4923-LPS,,,,,,,
TATA,4928-LPS,,,,,,,
TATA,709-LPT,,,,,,,
TATA,709-SFC,,,,,,,
TATA,909-LPK,,,,,,,
TATA,909-LPT,,,,,,,
TATA,909-SFC,,,,,,,
TATA,910,,,,,,,
TATA,ACE-CNG,,,,,,,
TATA,ACE-DICOR,,,,,,,
TATA,ACE-EX-E3,,,,,,,
TATA,Ace-Gold,,,,,,,
TATA,ACE-HT,,,,,,,
TATA,ACE-MEGA,,,,,,,
TATA,ACE-XL,,,,,,,
TATA,ACE-ZIP,,,,,,,
TATA,HYVA-2518,,,,,,,
TATA,MAGIC,,,,,,,
TATA,MAGIC-IRIS,,,,,,,
TATA,Mega-XL,,,,,,,
